date,radar,symbol,score,para15m
14.07.2026 12:11,V13,HOROZ.IS,118,
14.07.2026 12:11,V13,ARDYZ.IS,107,
14.07.2026 12:11,V13,EUPWR.IS,107,
14.07.2026 12:11,V13,ODAS.IS,101,
14.07.2026 12:11,V13,CCOLA.IS,94,
14.07.2026 12:11,V13,YEOTK.IS,89,
14.07.2026 12:19,V9,HOROZ.IS,121,
14.07.2026 12:19,V9,ASTOR.IS,110,
14.07.2026 12:19,V9,KTLEV.IS,108,
14.07.2026 12:19,V9,METRO.IS,107,
14.07.2026 12:19,V9,GESAN.IS,107,
14.07.2026 12:19,V9,EUPWR.IS,107,
14.07.2026 12:19,V9,EREGL.IS,105,
14.07.2026 12:19,V9,MANAS.IS,105,
14.07.2026 12:19,V9,ARASE.IS,104,
14.07.2026 12:19,V9,ISGYO.IS,104,
14.07.2026 12:19,V13,HOROZ.IS,121,
14.07.2026 12:19,V13,EUPWR.IS,107,
14.07.2026 12:19,V13,MANAS.IS,105,
14.07.2026 12:19,V13,ISGYO.IS,104,
14.07.2026 12:19,V13,ODAS.IS,101,
14.07.2026 12:19,V13,YEOTK.IS,90,
14.07.2026 12:19,V13,ARDYZ.IS,88,
14.07.2026 12:19,V13,CVKMD.IS,87,
14.07.2026 12:31,V9,HOROZ.IS,119,
14.07.2026 12:31,V9,KTLEV.IS,117,
14.07.2026 12:31,V9,GESAN.IS,108,
14.07.2026 12:31,V9,EUPWR.IS,107,
14.07.2026 12:31,V9,ISGYO.IS,105,
14.07.2026 12:31,V9,ODAS.IS,105,
14.07.2026 12:31,V9,AKCNS.IS,105,
14.07.2026 12:31,V9,ARASE.IS,104,
14.07.2026 12:31,V9,TKFEN.IS,104,
14.07.2026 12:31,V9,MANAS.IS,103,
14.07.2026 12:31,V13,HOROZ.IS,119,
14.07.2026 12:31,V13,EUPWR.IS,107,
14.07.2026 12:31,V13,ISGYO.IS,105,
14.07.2026 12:31,V13,ODAS.IS,105,
14.07.2026 12:31,V13,MANAS.IS,103,
14.07.2026 12:31,V13,MRSHL.IS,91,
14.07.2026 12:31,V13,CVKMD.IS,87,
14.07.2026 13:22,V9,KRDMB.IS,105,
14.07.2026 13:22,V9,SANFM.IS,103,
14.07.2026 13:22,V9,ARASE.IS,102,
14.07.2026 13:22,V9,BSOKE.IS,101,
14.07.2026 13:22,V9,BRMEN.IS,100,
14.07.2026 13:22,V9,MANAS.IS,100,
14.07.2026 13:22,V9,GESAN.IS,100,
14.07.2026 13:22,V9,EKGYO.IS,99,
14.07.2026 13:22,V9,SKBNK.IS,97,
14.07.2026 13:22,V9,ICUGS.IS,96,
14.07.2026 13:22,V13,MANAS.IS,100,
14.07.2026 13:22,V13,CCOLA.IS,93,
14.07.2026 13:22,V13,MRSHL.IS,92,
14.07.2026 13:22,V13,ALARK.IS,85,
14.07.2026 13:59,V9,ASTOR.IS,118,
14.07.2026 13:59,V9,ODAS.IS,112,
14.07.2026 13:59,V9,RGYAS.IS,107,
14.07.2026 13:59,V9,KRDMB.IS,105,
14.07.2026 13:59,V9,BSOKE.IS,103,
14.07.2026 13:59,V9,MANAS.IS,102,
14.07.2026 13:59,V9,ONCSM.IS,101,
14.07.2026 13:59,V9,EKGYO.IS,100,
14.07.2026 13:59,V9,BINHO.IS,100,
14.07.2026 13:59,V9,AGHOL.IS,99,
14.07.2026 13:59,V13,ODAS.IS,112,
14.07.2026 13:59,V13,RGYAS.IS,107,
14.07.2026 13:59,V13,KRDMB.IS,105,
14.07.2026 13:59,V13,MANAS.IS,102,
14.07.2026 13:59,V13,AHGAZ.IS,91,
